epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7468,1.62871,5.60783,0.02596,0.00798,0.50636,0.03611,0.01634,1.59058,7.1888,0.03508,0.00329114,0.00329114,0.0703797
2,43.7414,1.40688,4.90421,0.02116,0.90105,0.05744,0.07932,0.03549,1.61279,6.29298,0.03378,0.00655889,0.00655889,0.0403142
3,59.9519,1.37224,4.22886,0.0195,0.5975,0.07833,0.08471,0.03822,1.68572,5.94063,0.03548,0.00976064,0.00976064,0.0101826
4,76.1963,1.4251,3.77638,0.02097,0.66433,0.14005,0.1553,0.06594,1.87501,5.35411,0.04206,0.009703,0.009703,0.009703
5,92.776,1.43298,3.45367,0.02184,0.74625,0.0859,0.11003,0.05831,1.97255,5.03399,0.04319,0.009604,0.009604,0.009604
6,109.143,1.44973,3.05813,0.02154,0.72882,0.17432,0.20904,0.10332,1.71056,4.1345,0.03869,0.009505,0.009505,0.009505
7,125.364,1.45005,2.74858,0.02175,0.60314,0.29396,0.29856,0.13954,1.71288,3.45177,0.03962,0.009406,0.009406,0.009406
8,141.484,1.47701,2.57098,0.02148,0.55327,0.28298,0.32347,0.14698,1.76765,3.46865,0.03713,0.009307,0.009307,0.009307
9,157.567,1.4646,2.43663,0.02165,0.5907,0.40613,0.43874,0.21325,1.56266,2.76193,0.03256,0.009208,0.009208,0.009208
10,173.652,1.46056,2.30548,0.022,0.60383,0.36662,0.41737,0.2006,1.6101,2.82467,0.03363,0.009109,0.009109,0.009109
11,189.827,1.46366,2.21153,0.02177,0.44777,0.35466,0.38313,0.17181,1.72822,2.9173,0.03518,0.00901,0.00901,0.00901
12,205.999,1.47293,2.10536,0.02207,0.51809,0.24051,0.24093,0.11642,1.86941,3.58532,0.04012,0.008911,0.008911,0.008911
13,222.096,1.48059,2.05622,0.02198,0.4836,0.48809,0.47792,0.22026,1.66917,2.34095,0.03478,0.008812,0.008812,0.008812
14,238.272,1.4779,2.02773,0.02217,0.40991,0.28976,0.26375,0.1288,1.8998,3.36889,0.04154,0.008713,0.008713,0.008713
15,254.494,1.47507,1.99434,0.02179,0.57625,0.41659,0.43489,0.21531,1.7707,2.5094,0.03693,0.008614,0.008614,0.008614
16,270.674,1.48288,1.94178,0.02194,0.23849,0.16291,0.17393,0.07656,2.11326,3.69689,0.04797,0.008515,0.008515,0.008515
17,286.965,1.48854,1.94293,0.0223,0.53077,0.4582,0.4801,0.24732,1.57963,2.20968,0.03269,0.008416,0.008416,0.008416
18,303.108,1.47644,1.85449,0.02221,0.51147,0.54074,0.54284,0.27893,1.5919,1.95469,0.035,0.008317,0.008317,0.008317
19,319.251,1.45932,1.80457,0.02139,0.54445,0.50265,0.52017,0.26006,1.64443,1.97954,0.03508,0.008218,0.008218,0.008218
20,335.988,1.4819,1.80779,0.02204,0.57859,0.52155,0.55842,0.27622,1.62933,1.84543,0.03375,0.008119,0.008119,0.008119
21,352.735,1.47768,1.71315,0.0223,0.56174,0.48661,0.5197,0.24418,1.79654,2.12107,0.03795,0.00802,0.00802,0.00802
22,369.521,1.45922,1.68291,0.02158,0.49012,0.31706,0.33267,0.17205,1.93078,2.87284,0.04158,0.007921,0.007921,0.007921
23,386.359,1.48557,1.70523,0.02146,0.51863,0.33937,0.37469,0.19561,1.97722,2.98612,0.04343,0.007822,0.007822,0.007822
24,403.063,1.49643,1.7123,0.02204,0.67705,0.39822,0.45857,0.23913,1.75217,2.58994,0.03694,0.007723,0.007723,0.007723
25,419.798,1.47807,1.64557,0.02166,0.58301,0.56887,0.58518,0.30635,1.60523,1.66188,0.03377,0.007624,0.007624,0.007624
26,436.676,1.49054,1.62871,0.02184,0.54748,0.62277,0.60513,0.32045,1.60839,1.55564,0.03424,0.007525,0.007525,0.007525
27,453.492,1.45339,1.61185,0.02141,0.62709,0.60654,0.64549,0.34629,1.52983,1.55898,0.0303,0.007426,0.007426,0.007426
28,470.402,1.49402,1.61021,0.02176,0.58088,0.60262,0.61495,0.33528,1.57511,1.60151,0.03138,0.007327,0.007327,0.007327
29,487.3,1.45221,1.58246,0.02096,0.5451,0.5948,0.59139,0.30999,1.61316,1.66934,0.03362,0.007228,0.007228,0.007228
30,504.151,1.46602,1.59198,0.02117,0.56639,0.62392,0.63088,0.33309,1.61885,1.51959,0.03307,0.007129,0.007129,0.007129
