epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6108,1.78523,3.72401,1.86954,0.00762,0.67969,0.07564,0.03242,1.95175,4.03504,2.06378,0.00329114,0.00329114,0.0703797
2,26.9584,1.59632,2.79327,1.68746,0.28724,0.35365,0.28252,0.12513,1.98461,3.06202,2.00453,0.00655889,0.00655889,0.0403142
3,38.9565,1.63749,2.34187,1.67893,0.3347,0.4939,0.36516,0.16177,1.79694,3.42934,2.04142,0.00976064,0.00976064,0.0101826
4,50.8914,1.68351,2.29948,1.72202,0.25502,0.28108,0.19481,0.0693,2.33712,3.71023,2.41502,0.009703,0.009703,0.009703
5,63.2662,1.63348,2.181,1.69838,0.31884,0.24898,0.18077,0.07153,2.26919,3.68623,2.35516,0.009604,0.009604,0.009604
6,75.8773,1.63513,2.09873,1.68474,0.72911,0.19787,0.19471,0.08937,2.25614,3.69231,2.4961,0.009505,0.009505,0.009505
7,88.8362,1.59609,1.97584,1.67828,0.28603,0.36475,0.2935,0.12744,2.27867,3.39889,2.42852,0.009406,0.009406,0.009406
8,100.807,1.62671,1.93283,1.67997,0.43797,0.35642,0.35988,0.15842,2.01015,2.78445,2.23554,0.009307,0.009307,0.009307
9,112.647,1.57235,1.92492,1.65135,0.64109,0.26603,0.31475,0.14127,2.03512,2.93162,2.20845,0.009208,0.009208,0.009208
10,124.822,1.55851,1.84759,1.65603,0.45469,0.36132,0.34814,0.16574,1.92766,2.71507,2.04857,0.009109,0.009109,0.009109
11,137.786,1.54345,1.78794,1.6345,0.57476,0.48108,0.51588,0.24899,1.74177,2.01727,1.81315,0.00901,0.00901,0.00901
12,150.313,1.55463,1.77466,1.64443,0.62145,0.33195,0.33745,0.15865,1.97038,2.68005,2.08803,0.008911,0.008911,0.008911
13,162.561,1.53154,1.73062,1.63399,0.65331,0.41364,0.51256,0.25264,1.74249,2.09002,1.87634,0.008812,0.008812,0.008812
14,174.67,1.52861,1.72846,1.63466,0.47003,0.41526,0.44439,0.20555,1.85361,2.35401,1.96685,0.008713,0.008713,0.008713
15,186.544,1.50818,1.70161,1.62438,0.66046,0.25374,0.29808,0.15564,2.09119,2.9572,2.2669,0.008614,0.008614,0.008614
16,198.346,1.51149,1.68275,1.62145,0.60285,0.38583,0.42979,0.19676,1.82927,2.32321,2.03318,0.008515,0.008515,0.008515
17,210.086,1.52377,1.68346,1.62572,0.71474,0.28771,0.36268,0.17974,1.95705,2.65531,2.15459,0.008416,0.008416,0.008416
18,221.79,1.48434,1.62529,1.59984,0.65049,0.56746,0.58727,0.29153,1.65092,1.70818,1.79674,0.008317,0.008317,0.008317
19,233.43,1.50469,1.60242,1.59252,0.48306,0.48468,0.47806,0.24217,1.68987,1.95804,1.79515,0.008218,0.008218,0.008218
20,245.135,1.48176,1.61637,1.59699,0.68266,0.48441,0.5442,0.26559,1.73816,1.80579,1.79122,0.008119,0.008119,0.008119
21,256.91,1.47007,1.55627,1.58262,0.73782,0.57088,0.64809,0.34079,1.6224,1.60302,1.72606,0.00802,0.00802,0.00802
22,268.564,1.46225,1.55942,1.58072,0.85217,0.13473,0.21697,0.08761,2.53693,3.4851,2.91993,0.007921,0.007921,0.007921
23,280.248,1.49132,1.59233,1.61643,0.58956,0.57415,0.61914,0.29861,1.63214,1.68591,1.74997,0.007822,0.007822,0.007822
24,292.058,1.467,1.55863,1.58424,0.56251,0.5767,0.6155,0.30994,1.61107,1.59232,1.71554,0.007723,0.007723,0.007723
25,304.13,1.4684,1.53754,1.58708,0.54718,0.54373,0.56047,0.2843,1.65245,1.76488,1.79779,0.007624,0.007624,0.007624
26,316.102,1.44693,1.51465,1.56847,0.69774,0.44452,0.52043,0.25626,1.78318,1.85201,1.87867,0.007525,0.007525,0.007525
27,328.074,1.44366,1.49415,1.56276,0.74332,0.49314,0.5936,0.30688,1.6251,1.69901,1.74897,0.007426,0.007426,0.007426
28,340.027,1.46466,1.54081,1.58872,0.52912,0.37699,0.39124,0.19532,1.9906,2.52767,2.19568,0.007327,0.007327,0.007327
29,351.971,1.43521,1.48352,1.56537,0.53563,0.63136,0.59389,0.30631,1.72014,1.76142,1.80939,0.007228,0.007228,0.007228
30,363.832,1.43298,1.48722,1.55065,0.56323,0.57601,0.63787,0.35081,1.58512,1.53117,1.67357,0.007129,0.007129,0.007129
31,375.862,1.41148,1.48714,1.55812,0.70438,0.53628,0.59691,0.31594,1.55471,1.5886,1.67955,0.00703,0.00703,0.00703
32,387.792,1.42269,1.49595,1.55283,0.59017,0.63922,0.6404,0.34176,1.66357,1.51467,1.7546,0.006931,0.006931,0.006931
33,399.704,1.42206,1.46072,1.5398,0.37555,0.42511,0.37872,0.18186,2.14032,2.49695,2.28158,0.006832,0.006832,0.006832
34,411.601,1.42059,1.45763,1.54882,0.51924,0.35002,0.28818,0.1433,2.20171,3.21368,2.46876,0.006733,0.006733,0.006733
35,423.487,1.39942,1.42056,1.53558,0.5427,0.4615,0.4699,0.22162,1.90025,2.13867,2.04462,0.006634,0.006634,0.006634
36,435.386,1.40059,1.42455,1.53823,0.6233,0.69077,0.68601,0.3728,1.52729,1.45068,1.65052,0.006535,0.006535,0.006535
37,447.273,1.40734,1.44057,1.54416,0.62167,0.56426,0.62193,0.31443,1.61963,1.54216,1.67102,0.006436,0.006436,0.006436
38,459.205,1.40245,1.41976,1.53716,0.55808,0.62001,0.62728,0.33249,1.60798,1.57262,1.71601,0.006337,0.006337,0.006337
39,471.247,1.40659,1.40408,1.53884,0.53118,0.54631,0.55557,0.28303,1.80279,1.89558,1.90614,0.006238,0.006238,0.006238
40,483.266,1.40078,1.44301,1.53965,0.62358,0.57989,0.63657,0.34017,1.58118,1.56269,1.7095,0.006139,0.006139,0.006139
41,495.189,1.37164,1.39912,1.53019,0.60973,0.48452,0.54905,0.28738,1.73202,1.88232,1.8078,0.00604,0.00604,0.00604
42,507.115,1.39278,1.42241,1.545,0.43921,0.49273,0.46871,0.23682,1.80785,1.96423,1.94228,0.005941,0.005941,0.005941
43,519.025,1.39296,1.42184,1.53558,0.59116,0.61213,0.62875,0.33988,1.61231,1.57972,1.71676,0.005842,0.005842,0.005842
44,530.997,1.39839,1.39321,1.52771,0.50113,0.46891,0.51208,0.26347,1.78177,2.12743,1.90071,0.005743,0.005743,0.005743
45,543.071,1.37984,1.37034,1.52694,0.61993,0.53397,0.60712,0.32774,1.61825,1.52858,1.71232,0.005644,0.005644,0.005644
46,555.004,1.3723,1.3676,1.50527,0.61929,0.60309,0.6768,0.36926,1.57287,1.45874,1.66551,0.005545,0.005545,0.005545
47,566.94,1.36614,1.3643,1.5124,0.53296,0.30748,0.30458,0.15369,2.02862,3.03006,2.22349,0.005446,0.005446,0.005446
48,578.85,1.36024,1.35916,1.51174,0.53933,0.68161,0.66039,0.35398,1.56432,1.46855,1.65954,0.005347,0.005347,0.005347
49,590.801,1.36634,1.36807,1.51762,0.58193,0.63267,0.64476,0.34612,1.57705,1.50017,1.67996,0.005248,0.005248,0.005248
50,602.712,1.36756,1.3593,1.51831,0.63903,0.65637,0.68445,0.36756,1.55102,1.3858,1.64502,0.005149,0.005149,0.005149
51,614.657,1.35662,1.34249,1.50265,0.56477,0.68743,0.68159,0.37735,1.52444,1.36103,1.62919,0.00505,0.00505,0.00505
